AMGS	Albany Museum			Grahamstown	South Africa	Albany Museum, Grahamstown, South Africa
AMNH	American Museum of Natural History	Division of Invertebrate Zoology 		New York	United States	American Museum of Natural History, Division of Invertebrate Zoology, New York, United States
AMNZ	Auckland Museum Institute			Auckland	New Zealand	Auckland Museum Institute, Auckland, New Zealand
AMS	Australian Museum	Department of Entomology		Sydney	Australia	Australian Museum, Department of Entomology, Sydney, Australia
AMUZ	Department of Zoology		Aligarh Muslim University	Aligarh	India	Department of Zoology, Aligarh, India
ANCB	Museo Nacional de Historia Natural	Coleccion Entomologica		La Paz	Bolivia	Museo Nacional de Historia Natural, Coleccion Entomologica, La Paz, Bolivia
ANIC	CSIRO Entomology	Australian National Insect Collection	Commonwealth Scientific and Industrial Research Organization	Canberra	Australia	CSIRO Entomology, Australian National Insect Collection, Commonwealth Scientific and Industrial Research Organization, Canberra, Australia
ANSP	Department of Entomology		The Academy of Natural Sciences	Philadelphia	United States	Department of Entomology, Philadelphia, United States
ASAY	Institute of Zoology		Academy of Sciences of Armenia	Yerevan	Republic of Armenia 	Institute of Zoology, Yerevan, Republic of Armenia
ASCU	Orange Agricultural Institute	Agricultural Scientific Collections Unit	NSW Department of Primary Industries	Orange	Australia	Orange Agricultural Institute, Agricultural Scientific Collections Unit, NSW Department of Primary Industries, Orange, Australia
AUTC	Ataturk Universitesi			Erzurum	Turkey	Ataturk Universitesi, Erzurum, Turkey
BAUC	Department of Entomology		China Agricultural University	Beijing	China	Department of Entomology, Beijing, China
BBM	Bishop Museum	J. Linsley Gressitt Center for Research in Entomology, Department of Natural Sciences		Honolulu	United States	Bishop Museum, J. Linsley Gressitt Center for Research in Entomology, Department of Natural Sciences, Honolulu, United States
BCIQT	Bureau of Animal and Plant Health Inspection and Quarantine	Taichung Branch Office	Council of Agriculture	Taichung City	Taiwan	Bureau of Animal and Plant Health Inspection and Quarantine, Taichung Branch Office, Council of Agriculture, Taichung City, Taiwan
BEH	Bureau of Entomology			Hangchow	China	Bureau of Entomology, Hangchow, China
BHU	Department of Zoology		Banaras Hindu University	Varanasi	India	Department of Zoology, Varanasi, India
BLKU	Biosystematics Laboratory		Kyushu University	Fukuoka	Japan	Biosystematics Laboratory, Fukuoka, Japan
BMBN	Booth Museum of Natural History	Brighton Borough Council		Brighton	United Kingdom	Booth Museum of Natural History, Brighton Borough Council, Brighton, United Kingdom
BMNH	The Natural History Museum	Department of Entomology		London	United Kingdom	The Natural History Museum, Department of Entomology, London, United Kingdom
BNIST	Bernhard-Nocht-Institut fur Tropenmedizin			Hamburg	Germany	Bernhard-Nocht-Institut fur Tropenmedizin, Hamburg, Germany
BPIH	Bureau of Plant Industry	Arthropod Collection	Pennsylvania Department of Agriculture	Harrisburg	United States	Bureau of Plant Industry, Arthropod Collection, Pennsylvania Department of Agriculture, Harrisburg, United States
BPIM	Bureau of Plant Industry		Department of Agriculture	Manila	Philippines	Bureau of Plant Industry, Manila, Philippines
BYU	Monte L. Bean Life Science Museum	Entomology Section	Brigham Young University	Provo	United States	Monte L. Bean Life Science Museum, Entomology Section, Brigham Young University, Provo, United States
CAS	California Academy of Sciences	Department of Entomology		San Francisco	United States	California Academy of Sciences, Department of Entomology, San Francisco, United States
CAU	Zoologisches Museum		Christian-Albrechts-Universitat	Kiel	Germany	Zoologisches Museum, Kiel, Germany
CCSZ	Museo Paleontologico	Coleccion del Colegio del Salvador	Universidad de Zaragoza	Zaragoza	Spain	Museo Paleontologico, Coleccion del Colegio del Salvador, Universidad de Zaragoza, Zaragoza, Spain
CELM	"Coleccion Entomologica ""Luis Maria Murillo"""	Seccion Entomologia, ICA, Tibaitata		Bogota	Columbia	"Coleccion Entomologica ""Luis Maria Murillo"", Seccion Entomologia, ICA, Tibaitata, Bogota, Columbia"
CLM	Central Laboratory			Redent	Mauritius	Central Laboratory, Redent, Mauritius
CMC	Canterbury Museum			Christchurch	New Zealand	Canterbury Museum, Christchurch, New Zealand
CMCP	Department of Parasitology		Chungshan Medical College	Canton	China	Department of Parasitology, Canton, China
CMNH	Museum of Natural History & Science	Arthropod Collection	Cincinnati Museum Center 	Cincinnati	United States	Museum of Natural History & Science, Arthropod Collection, Cincinnati Museum Center, Cincinnati, United States
CMP	Carnegie Museum of Natural History	Section of Invertebrate Zoology 		Pittsburgh	United States	Carnegie Museum of Natural History, Section of Invertebrate Zoology, Pittsburgh, United States
CNBF	Corpo Forestale dello Stato		"Centro Nazionale per lo Studio e laConservazione della Biodiversita Forestale ""Bosco della Fontana"""	Verona	Italy	Corpo Forestale dello Stato, Verona, Italy
CNC	Canadian National Collection of Insects		Agriculture and Agri-Food Canada	Ottawa	Canada	Canadian National Collection of Insects, Ottawa, Canada
CNMS	National Museum			Colombo	Sri Lanka	National Museum, Colombo, Sri Lanka
CNU	Capital Normal University			Beijing	China	Capital Normal University, Beijing, China
CPARJ	Centro de Pesquisas Agropecuarias Centro-Sul		EMBRAPA	Rio de Janeiro	Brazil	Centro de Pesquisas Agropecuarias Centro-Sul, Rio de Janeiro, Brazil
CPMM	Museu da Historia Natural			Maputo	Mozambique	Museu da Historia Natural, Maputo, Mozambique
CSPU	Biological Sciences Department		California State Polytechnic University	Pomona	United States	Biological Sciences Department, Pomona, United States
CSUFC	Department of Entomology	C.P. Gillette Museum of Arthropod Biodiversity	Colorado State University	Fort Collins	United States	Department of Entomology, C.P. Gillette Museum of Arthropod Biodiversity, Colorado State University, Fort Collins, United States
